item_id;vectors
10;0.0009957254|0.8257247|0.3044044|0.0042058527|-0.06485941|0.58199316|-0.22509706|0.2623072|0.43278128|-0.25864685|-0.06692767|-0.049507022|-1.0745358|1.0294724|0.3971277|-0.5238164|0.78411615|0.1527736|0.54412115|0.33356223|-0.2147321|0.68747866|-0.31459713|0.327171|-0.7183011|0.12111491|0.7691686|-0.7062052|0.22019404|0.10248353|-0.33548686|-0.2752747|0.3857615|-0.06767824|0.12330064|0.59093696|0.68092346|-0.20431322|-0.41253266|-0.014078945|-0.22421786|-0.10823354|0.27438286|-0.41325802|-0.56809807|0.4078817|0.70948863|-0.069488734|0.029598981|-0.68072295|-1.081606|0.22729099|-0.26475978|0.07189898|-0.6696402|0.12538622|0.2905081|-0.26254687|0.06553445|-0.06529915|-0.051526904|-0.08793232|0.19323525|-0.14302304|-0.0011342764|0.3628267|0.41631016|0.084590204|0.58197457|0.06580062|0.6022667|-0.21530457|0.51182735|0.27761644|-0.1874274|0.21084304|-0.53399587|-0.3986438|-0.059426367|-0.39957386|-0.02837342|-0.26482537|0.45801872|0.08384678|-0.6568086|0.5490675|0.23830934|0.37002873|0.27174023|0.04056874|0.051231995|0.13617687|0.20566443|0.25250527|-0.27719945|-0.56013745|0.009436771|0.3552093|-0.04973948|-0.8939037
11;-0.65869296|-0.52573305|0.7720578|0.8306272|-0.3240139|0.6480682|0.16799659|0.6440117|0.52384675|-1.2226685|0.4442507|0.61626685|-0.48005533|0.21256146|-0.5583811|-0.25854957|0.0037189722|-0.07334077|0.019891948|0.8779373|-0.35270286|0.36761647|-0.6364909|0.42458946|0.32859817|-0.8363217|0.556761|-0.78786415|-0.04589495|-0.21670234|-0.29055646|-0.23265503|0.27145416|-0.43441388|0.697872|0.5589731|-0.7252746|-0.7235534|0.07021724|0.3109291|0.911072|0.9102868|0.09795374|-0.32002103|-0.16277528|-0.38512227|0.59241307|-0.025501087|-0.27880937|0.061735153|-0.68349993|1.0543683|-0.25381258|-0.3520646|0.16346085|0.8339039|-0.14912453|-0.11482272|0.10056106|0.010155201|-0.49822995|0.05945109|-0.44989476|0.26414436|0.24255392|0.7342099|1.0924494|0.6540317|0.27939156|0.37956262|-0.85349804|-0.20340286|0.62638855|-0.0021992922|-0.2145008|0.47776645|-0.22439998|0.97958547|-0.8202244|0.91348934|-0.10263103|-0.24079801|0.2004359|-0.7077963|-0.68890274|0.14508605|0.05465351|0.073937714|0.35873604|0.6109503|-0.41250503|0.32171535|0.2825974|-0.82896113|-0.19845685|-0.83396494|-0.36794776|-0.17200449|0.88455254|-0.5687879
12;-0.95117253|0.46886617|0.17714521|0.37583902|-0.3196946|0.80727947|-0.40080625|0.34000248|0.11404356|-0.6019169|0.22784781|0.25922596|-0.37206826|0.88581145|-0.7068724|-0.4517635|0.57659173|0.31094965|0.05364307|0.5904226|-0.16030443|0.5931108|-0.78571147|-0.010780305|-0.2986973|-0.19826323|0.6737992|-0.028048858|-0.52681345|-0.33643925|0.26665145|0.11325561|0.50730455|0.97489095|0.13656491|0.07617071|0.256767|-0.8383208|0.5864363|-0.04822761|0.3375147|-0.37391815|0.20652966|-0.3985513|0.3024276|-0.21343121|-0.064822495|-0.3775289|0.1705513|-0.12610355|-0.63185656|0.8130784|-0.43622673|0.11864829|-0.5165491|-0.09159294|-0.06525034|-0.88338697|0.186349|-0.04891464|0.13322842|-0.103211224|0.27867994|-0.53079855|-0.124414474|0.17569062|0.30089656|0.1326541|0.9148263|-0.011093408|-0.16244155|0.18312393|0.0329476|0.7568948|-0.3937595|0.23144285|-0.93005276|0.27492765|-0.56197774|0.30312175|1.0990909|-0.3663808|0.29381597|0.28643218|-0.2548615|0.22207037|-0.32586324|-0.21781453|0.5107597|-0.109417185|0.0066054612|0.23135383|0.12022366|-0.6608157|-0.3510485|-0.7334908|0.56793463|0.25552857|0.13658182|-0.5902163
13;-0.6626905|0.15343891|0.80257165|0.29954123|0.3120657|0.27044994|-0.45381522|-0.09400372|1.096834|-0.8417408|-0.11345446|-0.015186667|-0.91492116|0.23247337|-0.060923696|-0.37264624|0.13981688|0.28171924|-0.2302227|0.91820085|0.37097555|0.29781148|-0.35794234|0.40168846|-0.2297863|-0.3586024|0.51081765|-0.3161893|0.04317659|0.37276262|0.21180932|-0.31884968|0.5342327|0.28430316|0.10329011|1.1613544|-0.6149884|-0.8978585|-0.11712733|-0.19401053|0.65717876|0.3679716|0.28405195|0.43347454|-0.06247446|0.23689964|0.57990956|0.38790384|-0.23505813|-0.16049573|0.38261634|0.98029715|0.03660728|-0.6389478|-0.5143131|0.46079546|0.13877833|-0.29901794|0.19917756|0.52179694|-0.14379595|-0.4832841|-0.4286178|-0.012418866|1.0637593|-0.2623016|0.45193177|0.4334883|-0.024575979|0.83481705|-0.435089|-0.03218123|0.33671582|0.06574929|-0.12246069|0.53187793|-0.5441416|0.71706796|-1.2189418|0.60200346|-0.00020244718|-0.18346944|0.5946564|-0.29997736|-0.94667387|1.0520487|0.0064557046|0.58803976|-0.62923145|0.36636847|0.2817403|0.7290689|0.012067884|-0.47857505|-0.33500353|-0.6041442|0.13358316|0.25726908|0.15171838|-1.0305156
14;-0.2239871|0.42708528|-0.17230466|0.745336|-0.56644344|0.8342419|-0.711425|-0.2406214|0.33416873|0.01070255|-0.23758736|0.9014343|-1.177957|1.4590547|-0.4779793|0.079531014|0.7926208|-0.42792916|-0.6577306|0.5511253|-0.056129843|0.23503727|-0.6248133|-0.14286679|0.21417993|0.25763124|0.9508377|-0.45492756|-0.39952332|-0.26652786|-0.42315963|-0.93251234|0.40369588|0.30829233|0.6334506|-0.029229373|0.15597641|-0.73035216|-0.0539653|0.34049204|0.37000567|0.08509877|0.4401787|-0.83132714|-0.382697|-0.6191843|0.040236592|0.044453926|0.19065392|-0.27793843|-0.24541935|0.7848839|-0.046897307|-0.015817264|-0.72532177|1.0280225|0.21268743|-0.8066549|0.4044129|-0.44872266|-0.39468265|0.40057176|-0.01658824|0.039112806|0.3570533|0.50830406|0.48579535|-0.346004|0.90417725|0.063068986|0.15222675|-0.1857745|-0.20107704|0.37458867|-0.12454513|0.807458|-0.20434552|0.21220286|-0.20684734|-0.39806682|0.49681604|-0.43246657|0.24575979|-0.719264|-0.41806182|0.61418676|-0.20175296|0.4152683|0.735706|0.27253944|0.6056296|0.24437|-0.121961474|-0.57725215|-0.14357878|-1.1776451|-0.565669|-0.12590182|-0.076526076|-1.2639335
15;-0.5542233|0.2821667|0.38703033|0.72576183|-0.4771937|0.09025833|-0.091184825|-0.2565539|0.5638694|-0.7526808|0.49738687|0.70467407|-0.6324368|1.061609|-0.11025603|-0.4875899|0.14670005|0.2750407|0.51638824|1.0816319|-0.8825806|0.34262726|-0.3412262|0.36748785|0.21903372|-0.36172867|0.55479634|-0.042723566|-0.3405366|-0.10486397|-0.061577916|-0.2599095|-0.008008659|-0.0671255|0.4040457|0.35780546|-0.16849379|-0.67605704|0.33417845|0.12607256|0.004098393|0.38587928|0.6026008|-0.066274635|-0.54282993|-0.32634908|0.58763945|0.05573749|0.020198822|-0.26735666|-0.76338816|0.87401175|0.23430319|-0.21295306|0.17610863|-0.008660242|-0.07773481|-0.22208893|0.08584211|0.24158876|0.3064367|0.18794942|-0.5494474|-0.092255846|0.5353318|0.3817937|0.21863353|0.7762792|0.69549656|0.1961965|-0.089379415|-0.70108616|0.35514295|-0.33140847|-0.22376893|0.022381723|-0.4517249|0.8658539|-0.3147658|-0.11176658|0.26127487|-0.07523769|-0.4555102|-0.36788505|-0.69085944|0.45310718|-0.117582485|0.12456834|0.19220297|-0.24146695|0.40448052|0.4482187|0.6432456|-0.4561662|-0.27094585|-0.3287269|0.15490638|0.10444617|0.50898063|-0.27815226
16;-0.065054744|0.10279822|0.4467595|0.637066|-0.4251116|0.6200894|-0.67996883|0.3793301|0.5678739|-0.6526637|0.48541123|0.5066128|-0.61506927|1.2360538|-0.2807831|-0.62312806|0.47576493|0.7098007|0.15402618|-0.012795806|-0.09191877|0.33002824|-0.61029154|0.4398738|-0.34618083|-0.36520827|0.053147227|-0.2567584|-0.48997384|0.4056964|-0.39410925|-0.29516923|0.49203876|0.24313657|-0.16518351|0.32744378|0.2682934|-0.9769609|0.035502255|-0.025522232|-0.11382684|0.017522335|0.5733593|-0.2512349|-0.6894264|-0.20540285|0.6401587|-0.26592773|-0.37790212|-0.4951815|-0.63140225|-0.1094141|-0.18081832|-0.19955572|-0.17072503|0.09979355|0.001419723|0.27278388|0.30859706|0.5592538|0.47210824|0.023540825|-0.25823182|-0.091097906|0.19524677|0.42243373|0.56531435|0.107504636|-0.022493124|0.021091282|-0.36932027|-0.13684122|0.40761265|0.5416829|-0.2718282|0.73191166|-0.77096033|0.63801205|-0.54031277|-0.05497624|-0.10778099|-0.43126303|0.10069488|-0.082571365|-0.40109992|1.1193452|-0.4684028|0.12747394|0.16212365|0.5211331|0.4534794|0.0990196|0.22540452|-0.42452854|-0.3863873|-0.1858302|-0.33706015|0.5092446|0.15553051|-0.39121512
17;-0.2925747|0.109414786|0.33297455|0.25229967|-0.14566512|0.3992185|-0.010403529|0.104115136|-0.0029461384|-0.29483083|0.27392727|0.33316806|-0.11157274|0.8543985|-0.06497517|-0.5555069|0.6794139|0.29061866|0.20944116|0.21054763|-0.45194468|0.5765007|-0.44015175|0.65898454|-0.22916818|-0.43509388|0.09257284|-0.393389|-0.4591974|0.5618827|-0.17857501|0.8869095|0.5832066|0.28641632|0.3413216|0.8388282|0.58986545|-0.9177891|0.38664657|0.5171492|-0.037453562|-0.1773229|0.10125226|0.5024804|-0.42977005|-0.51969814|0.83205545|0.12737416|-0.3794798|-0.65654653|-0.6329706|0.9510069|-0.31304106|0.053208712|-0.31099102|0.3077811|-0.5599321|-0.62773645|-0.32693622|0.55505866|-0.013868695|-0.035351336|0.03861551|-0.61773777|0.6288332|0.37924847|0.21727315|0.14445534|0.81351125|0.16822958|-0.19443753|0.10372038|0.51926506|0.26880395|-0.4808309|0.26835346|-0.7882179|0.46512792|-0.16021824|-0.3336878|0.27374944|-0.21590415|0.501311|0.20465314|-0.05708784|0.26842004|0.035942882|0.7778399|0.33987996|0.39110786|0.22649866|0.23358618|0.14878497|-0.165001|0.08316824|0.05228263|0.44686514|-0.0059188306|0.1695843|-0.51147676
18;-0.10776839|1.161804|0.19116253|0.21234201|0.32016474|0.5344306|0.054725647|0.26430422|-0.3759267|-0.38754857|0.40997657|0.9363784|0.3495457|0.620726|-0.10576384|-0.08858815|0.37413478|0.2719075|0.07956414|-0.04923904|-0.086191654|0.85312784|-0.58798325|0.17770323|0.05404463|-0.5970473|0.69087446|-0.33721557|-0.54472136|0.37059972|-1.1935819|0.49646235|0.6817293|0.37337855|-0.15817466|0.61718374|0.028364263|-0.65487176|0.32283238|0.38896164|-0.567574|-0.011561796|0.18404186|-0.07854435|-0.06499626|-0.07557903|0.75904995|-0.09368551|-0.63179517|-0.70976794|-1.2542536|0.937852|-0.43686432|-0.08646924|-0.42519778|0.016189665|-0.1794183|0.07930261|0.28633142|0.56839615|-0.31984475|0.96285236|0.14826402|-0.30804804|0.17310204|0.98110604|0.033747494|0.18936105|0.7095958|-0.10362095|0.45257896|0.23113829|1.1058955|0.8372867|-0.069803804|0.28566313|-0.6728946|0.22141701|-0.02528578|-1.0380516|0.49801278|0.08732009|0.5256497|-0.58805645|-0.26965296|0.532452|-0.22139248|-0.19419342|0.19433218|0.6886559|0.23554814|0.33843842|1.099117|-0.015095025|0.090619504|0.16599599|1.0187205|-0.43612778|-0.048476636|-1.05967
19;-0.73794234|0.1540708|0.7895614|0.7332883|0.23625013|0.052882224|-0.4786562|0.35676572|0.45768327|-0.05346191|0.28906798|0.6812916|-0.83359563|0.5136593|-0.8558992|-0.19300024|0.4506213|0.36617804|0.24662128|0.9715842|-0.47733253|0.34748513|-0.1413067|0.13591719|0.11838717|-0.15404624|0.7000916|-0.023931012|-0.18530697|-0.26592425|-0.50893444|0.5019154|0.6604241|0.67826736|0.4026249|0.44129798|-0.5665034|-0.741915|0.9933847|0.1638426|-0.20114854|0.46281227|0.39000362|0.60067654|-0.7816375|-0.63484335|-0.063577116|0.07340482|-0.41186985|-0.82281667|-0.6411276|1.0574249|0.043691978|-0.21194962|-0.05270298|-0.125346|-0.6270311|-0.42235118|-0.39609158|0.79633826|0.73583823|0.7088709|0.18866909|0.08092213|0.4893766|-0.5079887|0.4336875|0.59226|0.6616082|0.2899392|0.107771754|0.35023162|0.05430776|0.21543019|-0.0056751072|0.45808968|-0.17906824|1.1527781|-0.34850007|0.2007335|0.5426465|0.11771011|0.54304093|0.28241763|-0.18399842|0.058877975|0.23202465|-0.04482183|0.3715484|0.30062616|-0.21590959|0.15228198|0.4180823|-0.26982665|0.0789853|-0.2799632|0.6717919|-0.2525211|0.03773445|-0.25661597
20;-0.5897449|0.20389535|0.4530644|1.0728697|-0.6537495|0.8045146|-0.43906766|0.17549324|0.36470383|-0.24086063|0.6859844|0.6907604|-0.24937895|1.142694|-0.2784122|-0.35611185|-0.10263458|0.3894782|0.36934963|0.7454041|-0.45156026|0.48963642|-0.31171602|0.5831555|0.31544274|-0.76251096|0.15817878|0.1447782|-0.12647657|0.38699532|-0.3763276|0.3513627|0.28814408|0.2737592|0.14519686|0.14978793|0.112049565|-0.50237715|0.44305447|0.6514921|0.052144594|-0.0143663585|0.25303748|-0.08411598|-0.5946615|-0.48018923|0.10918537|-0.10396378|0.0151715875|-0.38972086|-0.66375786|0.8213115|-0.38476086|-0.20057297|0.42399248|0.35831136|-0.8568607|0.09788415|-0.30403948|0.3676588|0.18188655|0.33756807|-0.09181413|-0.41645014|-0.09467742|0.35379833|0.6638671|0.327816|0.18353269|-0.09760466|-0.30035648|0.38794193|0.55296874|0.40429074|-0.38555443|0.31608403|-0.39605725|0.7481079|-0.7734238|0.2659734|0.50105417|-0.094450235|0.045190766|-0.0045200884|-0.2911178|0.8606135|-0.24365805|0.12520668|-0.078792214|0.39689875|0.71239537|0.40303928|0.5435441|-0.28308743|-0.13141242|-0.40706658|0.1909763|-0.8467629|0.5502181|-0.5988466
